NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;PrÃ©-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira
Alta Floresta D'Oeste;Norte;RO;1100015.0;Total;95.2;100,00;92.3;87.6;76.7;92.7;97.5;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Alta Floresta D'Oeste;Norte;RO;1100015.0;Urbana;94.9;100,00;91.3;95.2;93.3;96.3;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Alta Floresta D'Oeste;Norte;RO;1100015.0;Rural;100,00;--;100,00;73.9;38.5;86.8;95.4;--;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Ariquemes;Norte;RO;1100023.0;Total;94,00;90.6;95.8;97.3;96.7;97.9;99.2;100,00;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Ariquemes;Norte;RO;1100023.0;Urbana;93.5;90.5;95.3;97.2;96.4;98.2;100,00;100,00;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Ariquemes;Norte;RO;1100023.0;Rural;100,00;100,00;100,00;97.9;98,00;96.8;96.8;100,00;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cabixi;Norte;RO;1100031.0;Total;100,00;--;100,00;100,00;100,00;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cabixi;Norte;RO;1100031.0;Urbana;100,00;--;100,00;100,00;100,00;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cabixi;Norte;RO;1100031.0;Rural;--;--;--;100,00;--;100,00;100,00;--;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cacoal;Norte;RO;1100049.0;Total;93.3;90.4;94.3;94.5;96.3;93.2;97.9;82.8;100,00;100,00;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cacoal;Norte;RO;1100049.0;Urbana;94.1;90.4;95.7;99.1;98.6;99.6;100,00;92.3;100,00;100,00;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cacoal;Norte;RO;1100049.0;Rural;85.7;--;85.7;84.5;89.7;83.3;83.3;0,00;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cerejeiras;Norte;RO;1100056.0;Total;100,00;100,00;100,00;98.1;97,00;97.6;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cerejeiras;Norte;RO;1100056.0;Urbana;100,00;100,00;100,00;98.1;97,00;97.6;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Cerejeiras;Norte;RO;1100056.0;Rural;--;--;--;--;--;--;100,00;--;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Colorado do Oeste;Norte;RO;1100064.0;Total;97.8;100,00;96.3;100,00;100,00;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Colorado do Oeste;Norte;RO;1100064.0;Urbana;97.5;100,00;95.5;100,00;100,00;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Colorado do Oeste;Norte;RO;1100064.0;Rural;100,00;--;100,00;100,00;100,00;100,00;100,00;--;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Corumbiara;Norte;RO;1100072.0;Total;87.5;100,00;81.8;98,00;96.3;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Corumbiara;Norte;RO;1100072.0;Urbana;100,00;100,00;100,00;100,00;100,00;100,00;100,00;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Corumbiara;Norte;RO;1100072.0;Rural;60,00;--;60,00;96.4;93.8;100,00;100,00;--;--;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Costa Marques;Norte;RO;1100080.0;Total;53.6;55.6;52.6;75.4;63.6;86.7;97.5;--;91.7;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Costa Marques;Norte;RO;1100080.0;Urbana;54.5;50,00;57.1;75.6;55.3;95.1;97.7;--;94.4;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
Costa Marques;Norte;RO;1100080.0;Rural;50,00;100,00;40,00;75,00;82.4;68.4;97.3;--;83.3;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
EspigÃ£o D'Oeste;Norte;RO;1100098.0;Total;100,00;100,00;100,00;91.6;89.9;93.9;98.8;--;100,00;--;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena
