LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-51.917.365;-23.192.904;ã‚ngulo;Sul;PR;4101150.0;73.1;100.0;96.8;95.2;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-55.516.324;-1.909.235;ã“bidos;Norte;PA;1505106.0;91.5;90.9;94.5;99.1;100.0;96.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-49.340.951;-22.944.585;ã“leo;Sudeste;SP;3533809.0;91.3;95.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.136.164;-13.422.348;ã‰rico cardoso;Nordeste;BA;2900504.0;81.3;94.4;81.8;89.5;0.0;39.2;50.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-50.485.275;-6.804.949;ãgua azul do norte;Norte;PA;1500347.0;91.9;95.0;83.8;100.0;0.0;86.4;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.389.643;-17.991.053;ãgua boa;Sudeste;MG;3100609.0;96.3;94.4;95.6;95.7;0.0;93.2;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.389.643;-17.991.053;ãgua boa;Centro-Oeste;MT;5100201.0;91.7;90.0;93.9;96.7;0.0;96.7;30.8;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.158.915;-14.049.087;ãgua boa;Sudeste;MG;3100609.0;96.3;94.4;95.6;95.7;0.0;93.2;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.158.915;-14.049.087;ãgua boa;Centro-Oeste;MT;5100201.0;91.7;90.0;93.9;96.7;0.0;96.7;30.8;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.635.131;-5.893.266;ãgua branca;Nordeste;PI;2200202.0;91.8;97.9;93.9;92.0;80.0;89.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.635.131;-5.893.266;ãgua branca;Nordeste;PB;2500106.0;76.0;73.3;94.8;100.0;0.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-42.635.131;-5.893.266;ãgua branca;Nordeste;AL;2700102.0;64.1;85.0;90.4;98.0;0.0;73.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.642.209;-751.107;ãgua branca;Nordeste;PI;2200202.0;91.8;97.9;93.9;92.0;80.0;89.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.642.209;-751.107;ãgua branca;Nordeste;PB;2500106.0;76.0;73.3;94.8;100.0;0.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.642.209;-751.107;ãgua branca;Nordeste;AL;2700102.0;64.1;85.0;90.4;98.0;0.0;73.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.940.715;-9.267.025;ãgua branca;Nordeste;PI;2200202.0;91.8;97.9;93.9;92.0;80.0;89.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.940.715;-9.267.025;ãgua branca;Nordeste;PB;2500106.0;76.0;73.3;94.8;100.0;0.0;80.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.940.715;-9.267.025;ãgua branca;Nordeste;AL;2700102.0;64.1;85.0;90.4;98.0;0.0;73.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.875.118;-20.448.851;ãgua clara;Centro-Oeste;MS;5000203.0;88.9;88.2;97.0;98.0;0.0;100.0;85.7;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.108.077;-20.059.312;ãgua comprida;Sudeste;MG;3100708.0;57.1;80.0;95.2;92.3;0.0;92.3;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-51.559.097;-27.004.092;ãgua doce;Sul;SC;4200408.0;100.0;100.0;96.6;80.0;75.0;90.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-40.976.456;-18.545.546;ãgua doce do norte;Sudeste;ES;3200169.0;100.0;100.0;97.4;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.768.078;-11.872.931;ãgua fria;Nordeste;BA;2900405.0;81.4;87.2;89.6;94.4;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-48.761.241;-18.071.406;ãgua limpa;Centro-Oeste;GO;5200209.0;60.0;100.0;100.0;66.7;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-38.290.825;-6.204.717;ãgua nova;Nordeste;RN;2400406.0;90.9;100.0;95.7;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-35.518.557;-8.709.123;ãgua preta;Nordeste;PE;2600401.0;41.2;53.8;59.7;100.0;0.0;84.4;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.034.633;-28.175.055;ãgua santa;Sul;RS;4300059.0;54.5;50.0;79.4;93.3;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-37.121.957;-911.459;ãguas belas;Nordeste;PE;2600500.0;60.6;59.6;77.6;97.1;0.0;90.5;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-46.716.767;-21.934.829;ãguas da prata;Sudeste;SP;3500402.0;81.5;71.4;98.4;95.5;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-40.935.228;-17.082.304;ãguas formosas;Sudeste;MG;3100906.0;96.1;100.0;97.6;90.7;100.0;91.4;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-52.859.419;-26.880.228;ãguas frias;Sul;SC;4200556.0;91.7;100.0;100.0;100.0;0.0;0.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
