terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira;NU_ANO_CENSO;NO_REGIAO;SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;NO_CATEGORIA;Total -educacao infantil;Creche;Pré-Escola;Total - findamental;Anos Iniciais fundamental;Anos Finais -fundamental;Ensino Médio;Educação Profissional;Educação de Jovens e Adultos (EJA);Educação Especial
Acapuri de Cima;Kokama;Fonte Boa;AM;18393,9411;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301605.0;Fonte Boa;Total;16,1;10,3;19,1;54;63,7;47,1;100;90,9;70,5;--
Acapuri de Cima;Kokama;Fonte Boa;AM;18393,9411;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301605.0;Fonte Boa;Urbana;18,9;10,3;26,1;77,6;68,7;89,7;100;90,9;79,5;--
Acapuri de Cima;Kokama;Fonte Boa;AM;18393,9411;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1301605.0;Fonte Boa;Rural;7,3;--;7,3;9,8;8,3;9,9;100;--;0;--
Acimã;Apurinã;Lábrea;AM;40686,034;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302405.0;Lábrea;Total;67,9;62,5;71,8;60,3;56,2;64,3;98,2;100;71,2;--
Acimã;Apurinã;Lábrea;AM;40686,034;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302405.0;Lábrea;Urbana;68;62,5;72,2;83,8;73,3;97,4;100;100;100;--
Acimã;Apurinã;Lábrea;AM;40686,034;Regularizada;Tradicionalmente ocupada;;Não;2022;Norte;AM;1302405.0;Lábrea;Rural;66,7;--;66,7;35,5;30,7;40;95,9;--;32;--
Aconã;Tingui-Botó;Traipu;AL;267,7862;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2709202.0;Traipu;Total;73,7;78,6;69;82,2;82,8;82,1;100;--;66,7;--
Aconã;Tingui-Botó;Traipu;AL;267,7862;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2709202.0;Traipu;Urbana;84,4;78,6;94,1;90,4;90,9;90,5;100;--;100;--
Aconã;Tingui-Botó;Traipu;AL;267,7862;Regularizada;Reserva Indígena;;Não;2022;Nordeste;AL;2709202.0;Traipu;Rural;66,7;78,6;58,5;78,7;78,3;78,9;--;--;54,8;--
Aldeia Katurama;Pataxó, Pataxo Há-Há-Há;São Joaquim de Bicas;MG;346,124;Regularizada;Dominial Indígena;;Não;2022;Sudeste;MG;3162922.0;São Joaquim de Bicas;Total;70,8;73,7;72,2;85;80;89,4;86,9;--;81,6;100
