LONGITUDE;LATITUDE;NO_MUNICIPIO;NO_REGIAO;SG_UF;CO_MUNICIPIO;Total -educacao infantil;PrÃ©-Escola;Total - findamental;Ensino MÃ©dio;EducaÃ§Ã£o Profissional;EducaÃ§Ã£o de Jovens e Adultos (EJA);EducaÃ§Ã£o Especial;terrai_nome;etnia_nome;modalidade_ti;faixa_fronteira;ha-terra-indigena
-61.999824;-11.93554;alta floresta d'oeste;Norte;RO;1100015.0;95.2;92.3;87.6;97.5;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-63.033269;-9.908463;ariquemes;Norte;RO;1100023.0;94.0;95.8;97.3;99.2;100.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.544314;-13.499763;cabixi;Norte;RO;1100031.0;100.0;100.0;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.442944;-11.433865;cacoal;Norte;RO;1100049.0;93.3;94.3;94.5;97.9;82.8;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.818426;-13.195033;cerejeiras;Norte;RO;1100056.0;100.0;100.0;98.1;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.555067;-13.130564;colorado do oeste;Norte;RO;1100064.0;97.8;96.3;100.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-60.948701;-12.99752;corumbiara;Norte;RO;1100072.0;87.5;81.8;98.0;100.0;0.0;100.0;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-64.231654;-12.436014;costa marques;Norte;RO;1100080.0;53.6;52.6;75.4;97.5;0.0;91.7;0.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-62.476231;-10.435949;jaru;Norte;RO;1100114.0;96.5;98.9;97.3;98.1;100.0;100.0;100.0;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
-61.999593;-9.425562;machadinho d'oeste;Norte;RO;1100130.0;93.4;90.2;96.9;100.0;0.0;100.0;85.7;Não há terra indigena;Não há terra indigena;Não há terra indigena;Não há terra indigena;nao
