terrai_nome;etnia_nome;municipio_nome;uf_sigla;superficie_perimetro_ha;fase_ti;modalidade_ti;reestudo_ti;faixa_fronteira
Acapuri de Cima;Kokama;Fonte Boa;AM;18393,9411;Regularizada;Tradicionalmente ocupada;;Não
Acimã;Apurinã;Lábrea;AM;40686,034;Regularizada;Tradicionalmente ocupada;;Não
Aconã;Tingui-Botó;Traipu;AL;267,7862;Regularizada;Reserva Indígena;;Não
Aldeia Katurama;Pataxó, Pataxo Há-Há-Há;São Joaquim de Bicas;MG;346,124;Regularizada;Dominial Indígena;;Não
Aldeia Kondá;Kaingang;Chapecó;SC;2300;Encaminhada RI;Reserva Indígena;;Sim
Aldeia Limão Verde;Guarani Kaiowá;Amambai;MS;668,0796;Regularizada;Tradicionalmente ocupada;;Sim
Aldeia Velha;Pataxó;Porto Seguro;BA;1997,5526;Homologada;Tradicionalmente ocupada;;Não
Alto Rio Guamá;Timbira,Tembé;Santa Luzia do Pará,Paragominas,Nova Esperança do Piriá,Garrafão do Norte;PA;279897,7;Regularizada;Tradicionalmente ocupada;;Não
Alto Rio Negro;Arapáso,Karapanã,Barasána,Baré,Wanana;Japurá,São Gabriel da Cachoeira;AM;7999381,168;Regularizada;Tradicionalmente ocupada;;Sim
Alto Rio Purus;Kaxinawá,Kulina Páno;Santa Rosa do Purus,Manoel Urbano;AC;263129,8062;Regularizada;Tradicionalmente ocupada;;Sim
Alto Sepatini;Apurinã;Lábrea;AM;26095,6979;Regularizada;Tradicionalmente ocupada;;Não
Alto Tarauacá;Isolados;Jordão,Feijó;AC;142619,1069;Regularizada;Tradicionalmente ocupada;;Sim
Alto Turiaçu;Ka´apor;Centro Novo do Maranhão,Maranhãozinho,Centro do Guilherme,Zé Doca,Santa Luzia do Paruá,Araguanã;MA;530524,7417;Regularizada;Tradicionalmente ocupada;;Não
Amambai;Guarani Kaiowá;Amambai;MS;2429,5454;Regularizada;Tradicionalmente ocupada;;Sim
Amanayé;Amanayé;Goianésia do Pará;PA;162856,81;Encaminhada RI;Reserva Indígena;;Não
Amaral/Tekoá Kuriy;Guarani Mbya;Biguaçu;SC;501,36;Encaminhada RI;Reserva Indígena;;Não
Amba Porã;Guarani Mbya;Miracatu;SP;7204;Delimitada;Tradicionalmente ocupada;;Não
Anambé;Anambé;Moju;PA;7882,8329;Regularizada;Tradicionalmente ocupada;;Não
Ananás;Makuxí;Amajari;RR;1769,422;Regularizada;Tradicionalmente ocupada;;Sim
Anaro;Wapixana;Amajari;RR;30473,9506;Regularizada;Tradicionalmente ocupada;;Sim
Andirá-Marau;Sateré-Mawé;Parintins,Maués,Barreirinha,Aveiro,Itaituba;AM,PA;788528,383;Regularizada;Tradicionalmente ocupada;;Não
Aningal;Makuxí;Amajari;RR;7627,0391;Regularizada;Tradicionalmente ocupada;;Sim
Anta;Wapixana;Alto Alegre;RR;3173,8226;Regularizada;Tradicionalmente ocupada;;Sim
Apiaka/Kayabi;Apiaká,Kaiabi;Juara;MT;109245,3822;Regularizada;Tradicionalmente ocupada;;Não
Apiaká do Pontal e Isolados;Isolados,Apiaká;Apiacás;MT;982324;Delimitada;Tradicionalmente ocupada;;Não
Apinayé;Apinayé;Maurilândia do Tocantins,Itaguatins,Cachoeirinha,São Bento do Tocantins,Tocantinópolis;TO;141904,2092;Regularizada;Tradicionalmente ocupada;;Não
Apipica;Múra;Careiro da Várzea;AM;652,7562;Regularizada;Tradicionalmente ocupada;;Não
Apucarana;Kaingang;Londrina;PR;5574,945;Regularizada;Tradicionalmente ocupada;;Não
Apurinã Igarapé Tauamirim;Apurinã;Tapauá;AM;96456,5072;Regularizada;Tradicionalmente ocupada;;Não
Apurinã Km 124 BR-317;Apurinã;Boca do Acre,Lábrea;AM;42197,6055;Regularizada;Tradicionalmente ocupada;;Sim
Apurinã do Igarapé Mucuim;Apurinã;Lábrea;AM;73350,6121;Regularizada;Tradicionalmente ocupada;;Não
Apurinã do Igarapé São João;Apurinã;Tapauá;AM;18232,4221;Regularizada;Tradicionalmente ocupada;;Não
Apyterewa;Parakanã;São Félix do Xingu;PA;773470,0313;Regularizada;Tradicionalmente ocupada;;Não
Arara;Arara do Pará;Medicilândia,Brasil Novo,Altamira,Uruará;PA;274010,024;Regularizada;Tradicionalmente ocupada;;Não
Arara da Volta Grande do Xingu;Arara do Pará;Senador José Porfírio;PA;25524,5931;Regularizada;Tradicionalmente ocupada;;Não
Arara do Igarapé Humaitá;Arara do Acre;Tarauacá,Porto Walter;AC;87571,6965;Regularizada;Tradicionalmente ocupada;;Sim
